text,song
"Yeah ride the wild wind (hey, hey, hey)",Ride The Wild Wind
"Oooh ride the wild wind (hey, hey, hey)",Ride The Wild Wind
Gonna ride it ride the wild wind,Ride The Wild Wind
It ain't dangerous - enough for me,Ride The Wild Wind
"Ride the wild wind, ride the wild wind",Ride The Wild Wind
"(Hey, hey, hey) The wild wind",Ride The Wild Wind
The wild wind,Ride The Wild Wind
"She came without a farthing, a babe without a name","All Dead, All Dead"
"So much ado about nothing, is what she's try to say","All Dead, All Dead"
"So much ado my lover,","All Dead, All Dead"
so many games we played,"All Dead, All Dead"
"Through every fleeted summer, through every precious day","All Dead, All Dead"
"All dead, all dead, all the dreams we had","All Dead, All Dead"
And I wonder why I still live on,"All Dead, All Dead"
"All dead, all dead, and alone I'm spared","All Dead, All Dead"
"My sweeter half instead, All dead, and gone, all dead","All Dead, All Dead"
"All dead, all dead, at the rainbow's end","All Dead, All Dead"
And still I hear her own sweet song,"All Dead, All Dead"
"All dead, all dead, Take me back again","All Dead, All Dead"
"You know my little friend's, all dead and gone","All Dead, All Dead"
"Her ways are always with me, I wander all the while","All Dead, All Dead"
"But please you must forgive me, I am old but still a child","All Dead, All Dead"
"All dead, all dead, but I should not grieve","All Dead, All Dead"
"In time it comes to everyone, all dead, all dead","All Dead, All Dead"
"But in hope I breathe, of course I don't believe","All Dead, All Dead"
"You're dead and gone, all dead and gone","All Dead, All Dead"
Ah ah ah ah ah,In The Lap Of The Gods
Leave it in the lap of the gods,In The Lap Of The Gods
Ah ah ah,In The Lap Of The Gods
I live my life for you,In The Lap Of The Gods
Think all my thoughts with you and only you,In The Lap Of The Gods
Anything you ask I do for you,In The Lap Of The Gods
I touch your lips with mine,In The Lap Of The Gods
But in the end I leave it to the lords,In The Lap Of The Gods
Leave it in the lap of the gods,In The Lap Of The Gods
What more can I do?,In The Lap Of The Gods
Leave it in the lap of the gods,In The Lap Of The Gods
I leave it to you,In The Lap Of The Gods
Leave it in the lap of the gods,In The Lap Of The Gods
Leave it in the lap of the gods,In The Lap Of The Gods
I want you to,In The Lap Of The Gods
Leave it in the lap of the gods,In The Lap Of The Gods
Leave it in the lap of the gods,In The Lap Of The Gods
Leave it in the lap of the gods,In The Lap Of The Gods
Lap of the gods,In The Lap Of The Gods
Bring out the charge of the love brigade,The Millionaire Waltz
There is spring in the air once again,The Millionaire Waltz
Drink to the sound of the song parade,The Millionaire Waltz
There is music and love everywhere,The Millionaire Waltz
Give a little love to me,The Millionaire Waltz
(I wanna) Take a little love from me,The Millionaire Waltz
I want to share it with you,The Millionaire Waltz
Feel like a millionaire,The Millionaire Waltz
Once we were mad we were happy,The Millionaire Waltz
We spent all our days holding hands together,The Millionaire Waltz
"Do you remember my love,how we danced and played?",The Millionaire Waltz
"In the rain we laid, we could stay there for ever and ever",The Millionaire Waltz
Now I am sad you are so far away,The Millionaire Waltz
I sit counting the hours day by day,The Millionaire Waltz
"Come back to me, How I long for your love",The Millionaire Waltz
"Come back to me, Be happy like we used to be",The Millionaire Waltz
"Come back, come back to me",The Millionaire Waltz
"Come back, come back to me",The Millionaire Waltz
Oh come back to me oh my love,The Millionaire Waltz
How I long for your love,The Millionaire Waltz
Won't you come back to me? my fine friend,The Millionaire Waltz
Take me wiz you unt love me forever,The Millionaire Waltz
"My fine friend, Forever, forever",The Millionaire Waltz
Bring out the charge of the love brigade,The Millionaire Waltz
There is spring in the air once again,The Millionaire Waltz
Drink to the sound of the song parade,The Millionaire Waltz
There is music and love everywhere,The Millionaire Waltz
Give a little love to me,The Millionaire Waltz
(I wanna) Take a little love from me,The Millionaire Waltz
I want to share it with you,The Millionaire Waltz
Come back come back to me feel,The Millionaire Waltz
Make me feel like a millionaire,The Millionaire Waltz
Well you're just seventeen and all you want to do is disappear,Sheer Heart Attack
You know what I mean there's a lot of space between your ears,Sheer Heart Attack
The way that you touch don't feel no nothing,Sheer Heart Attack
"Hey, hey, hey, hey, it was the D.N.A.",Sheer Heart Attack
"Hey, hey, hey, hey, that made me this way",Sheer Heart Attack
